chapter,fig_label,filename,source,copyright_status,rightsholder_or_route,necessary,route,applied_date,applied_by,contact,received_date,doc_path,submitted_date,status,notes,qmd_file,qmd_line
01-Prelude.qmd,fig-ReavenMiller-3d,images/ReavenMiller-3d-annotated.png,@ReavenMiller:79.,permission_required,"Springer (*Diabetologia*, 1979)",Y,CCC,,,"RightsLink via link.springer.com article's ""Reprints and Permissions"" link (select ""book"" as reuse type); CCC support springernaturesupport@copyright.com, +1-855-239-3415; alt: journalpermissions@springernature.com",,,,not started,STM Guidelines route available (CRC & Springer both signatories),./01-Prelude.qmd,409
01-Prelude.qmd,fig-tesseract,images/tesseract-frames.png,"ediacura, [YouTube](https://www.youtube.com/watch?v=5xN4DxdiFrs).",permission_required,"""ediacura"" (YouTube creator)",Y,manual-followup-needed,,,No channel contact found via automated fetch (YouTube JS-rendered page); check the video's About tab manually: youtube.com/watch?v=5xN4DxdiFrs,,,,not started,Contact via YouTube channel; T&F lists YouTube content as copyrighted,./01-Prelude.qmd,229
01-Prelude.qmd,fig-tesseract,images/tesseract.gif,Contact via YouTube channel; T&F lists YouTube content as copyrighted,permission_required,"""ediacura"" (YouTube creator)",Y,manual-followup-needed,,,No channel contact found via automated fetch (YouTube JS-rendered page); check the video's About tab manually: youtube.com/watch?v=5xN4DxdiFrs,,,,not started,Contact via YouTube channel; T&F lists YouTube content as copyrighted,./01-Prelude.qmd,218
02-intro.qmd,fig-cover-GEB,images/Cover-GEB.png,Book-cover artwork; used twice,permission_required,Basic Books / Hachette,Y,publisher-page,,,Hachette permission request form (hachettebookgroup.com Copyrights and Permissions) -> permissions.Generic@hbgusa.com; expect a fee and multi-week turnaround,,,,not started,Book-cover artwork; used twice,./02-intro.qmd,200
03-getting_started.qmd,fig-datasaurus-html,images/DataSaurusDozen.gif,[https://youtu.be/It4UA75z_KQ](https://youtu.be/It4UA75z_KQ),permission_required,Autodesk Research (Matejka & Fitzmaurice),Y,regenerate-instead,,,"datasauRus data is CC0 -- regenerate the animation from data instead (preferred, avoids request entirely). Fallback: no listed Autodesk Research contact found; Justin Matejka LinkedIn linkedin.com/in/justinmatejka/",,,,not started,**Or regenerate** from CC0 `datasauRus` data → NPR,./03-getting_started.qmd,206
03-getting_started.qmd,fig-datasaurus-pdf,images/datasaurus-dozen.jpg,[Selçuk Korkmaz on X](https://x.com/selcukorkmaz/status/1864583253253927156),permission_required,X post by Selçuk Korkmaz (underlying art: Autodesk Research),Y,regenerate-instead,,,"Same CC0 datasauRus alternative as DataSaurusDozen.gif. Fallback direct contact: Selcuk Korkmaz, selcuk.korkmaz@hacettepe.edu.tr",,,,not started,**Or regenerate** from CC0 `datasauRus` data → NPR,./03-getting_started.qmd,216
04-multivariate_plots.qmd,fig-cover-GEB2,images/Cover-GEB.png,Book-cover artwork; used twice,permission_required,Basic Books / Hachette,Y,publisher-page,,,Hachette permission request form (hachettebookgroup.com Copyrights and Permissions) -> permissions.Generic@hbgusa.com; expect a fee and multi-week turnaround,,,,not started,Book-cover artwork; used twice,./04-multivariate_plots.qmd,2765
04-multivariate_plots.qmd,fig-big5-qgraph-rodrigues,images/big5-qgraph-rodrigues.png,[Rodrigues (2021)](https://bit.ly/3A6kvq5),permission_required,"Rodrigues (2021), source publication/blog",Y,direct-contact,,,"Contact form at reisrgabriel.com (bit.ly/3A6kvq5 -> reisrgabriel.com/blog/2021-08-21-qgraph-exhaustive/), author Gabriel R. Rodrigues",,,,not started,,./04-multivariate_plots.qmd,3361
04-multivariate_plots.qmd,fig-mahalanobis,images/mahalanobis.png,Re-drawn from [Ou Zhang](https://ouzhang.rbind.io/2020/11/16/outliers-part4/),permission_required,Ou Zhang (blog author),Y,direct-contact,,,"ouzhang.rbind.io/contact, or X/Twitter @zhangou888",,,,not started,Redrawn artwork; or document substantial transformation,./04-multivariate_plots.qmd,616
05-pca-biplot.qmd,fig-MV-juicer,images/MV-juicer.png,"Author image, using publicly available clipart.",TFQ,flagged for T&F,Y,,,,,,,,flagged for T&F,"Composite of stock clipart (fruit-head, juicer line art, gear-brain head) assembled in `images/MV-juicer.pptx`; MF has no record of the original source(s) and the elements aren't watermarked. Per guide rule 2, no watermark ≠ public domain, so that can't be used as a PD claim; a reverse image search is the only remaining diligence step and isn't guaranteed to be conclusive. Caption now reads ""Source: Author image, using publicly available clipart"" (@fig-MV-juicer, `05-pca-biplot.qmd`) to flag this for readers/reviewers as well.",./05-pca-biplot.qmd,76
